Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C7",805,3,10 uF,
"C2, C30, C31, C33, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C48, C49, C50, C51, C52, C6, C8, C9",402,22,100 nF,
"C24, C25, C28, C29",402,4,1 µF,
"C26, C27",402,2,2.2 uF,
"C3, C47",603,2,"4,7 uF",
DEBUG1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04_Pin,
LED_DPI1,LED_RGB_1210,1,SB1210WC01-RGB ,
PAW3395,PAW3395_LGA16_fixed,1,~,
R1,603,1,"5,6 Ω",
R10,603,1,330 Ω,
R11,603,1,100 Ω,
"R12, R13",603,2,10 kΩ,
R14,603,1,10 kΩ,
"R2, R6",603,2,22 Ω,
"R3, R7, R8",603,3,10kΩ,
R4,603,1,12kΩ,
R5,603,1,820Ω,
R9,603,1,220 Ω,
SCROLL1,Encoder_Kailh_Wheel_3Pin,1,CEN981012R24,
"SW1, SW_DPI1",SW_SPST_TL3342,2,SW_Push,
SW2,SW_SPST_EVQP7C,1,SW_Push,
SW_LAT1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03_Pin,
"SW_LEFT1, SW_RIGHT1, SW_WHEEL1",SW_D2FC_OMR,3,SW_SPDT_321,
SW_POLLING1,SSSS213202_AAL,1,SSSS213202,
U1,SOT-23-5,1,AP2112K-3.3,
U2,SOT-23-5,1,TLV75519PDBV,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F215RGTx,
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,USB3300-EZK,
USB1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,Conn_01x05_Pin,
Y2,Oscillator_SMD_24MHz_2.5x2.0mm,1,OT252024MJBA4SL,
Y3,Oscillator_SMD_8MHz_2.5x2.0mm,1,OT3EL89CJI-111YLC-8M,
