Designator,Mid X,Mid Y,Rotation,Layer
C1,163.12,-106.37,0.0,top
C2,162.61,-107.84,0.0,top
C24,141.92,-105.54,180.0,top
C25,140.67,-100.175,0.0,top
C26,158.69,-134.665,0.0,top
C27,147.07,-131.06,0.0,top
C28,168.7337,-99.675,180.0,top
C29,166.1,-102.38,90.0,top
C3,163.305,-104.34,0.0,top
C30,145.36,-90.135,90.0,top
C31,141.26,-90.095,90.0,top
C33,170.74,-133.824,180.0,top
C38,140.89,-119.4,90.0,top
C39,142.9,-118.95,90.0,top
C4,163.04,-103.15,0.0,top
C40,136.7,-124.08,180.0,top
C41,142.78,-128.43,270.0,top
C42,143.84,-118.94,90.0,top
C43,139.52,-118.92,180.0,top
C44,138.94,-119.84,180.0,top
C45,141.19,-114.46,180.0,top
C46,134.46,-123.04,90.0,top
C47,163.155,-123.755,0.0,top
C48,147.98,-132.135,180.0,top
C49,161.69,-122.565,0.0,top
C5,163.34,-99.38,0.0,top
C50,160.1,-133.865,270.0,top
C51,152.44,-118.85,90.0,top
C52,160.35,-118.785,270.0,top
C6,163.3,-101.26,0.0,top
C7,162.21,-111.39,270.0,top
C8,163.67,-111.08,270.0,top
C9,140.02,-111.765,90.0,top
DEBUG1,176.17,-128.19,270.0,top
LED_DPI1,171.86,-94.5,0.0,bottom
PAW3395,155.05,-105.42,180.0,top
R1,166.9687,-104.355,180.0,top
R10,173.61,-97.65,90.0,bottom
R11,171.88,-97.65,90.0,bottom
R12,144.12,-90.41,90.0,top
R13,142.51,-90.4,90.0,top
R14,149.57,-113.875,270.0,top
R2,136.17,-126.76,0.0,top
R3,174.605,-104.76,180.0,top
R4,136.465,-120.0,180.0,top
R5,136.42,-122.85,0.0,top
R6,136.170001,-125.270001,0.0,top
R7,165.09,-111.475,270.0,top
R8,171.175,-132.624,180.0,top
R9,170.12,-97.67,90.0,bottom
SCROLL1,145.225,-81.12,180.0,top
SW1,174.57,-109.81,270.0,top
SW2,170.736,-136.28,0.0,top
SW_DPI1,143.22,-108.71,90.0,bottom
SW_LAT1,174.795,-117.83,90.0,top
SW_LEFT1,135.49,-80.94,0.0,top
SW_POLLING1,173.4,-107.15,0.0,bottom
SW_RIGHT1,173.83,-80.88,0.0,top
SW_WHEEL1,165.84,-83.56,0.0,top
U1,141.28,-102.715,270.0,top
U2,168.6162,-101.915,0.0,top
U4,154.77,-127.505,180.0,top
U5,141.05,-123.53,90.0,top
USB1,137.71,-107.99,90.0,top
Y2,140.85,-116.67,270.0,top
Y3,158.1,-119.0,180.0,top
